player,score
George Hill,2541.8043478260875
Grant Long,2540.3235294117653
Orlando Woolridge,2535.1666666666665
Fred VanVleet,2526.9444444444443
Benoit Benjamin,2525.5476190476193
Michael Cage,2525.5
Jim Paxson,2523.4358974358975
Dennis Schröder,2521.921052631579
J.J. Redick,2520.289473684211
Jarrett Allen,2519.0
Walt Hazzard,2517.125
Corey Maggette,2510.75
Toni Kukoč,2506.5588235294117
Mehmet Okur,2506.5
Wesley Matthews,2506.3888888888887
Bill Bradley,2504.5
Clyde Lee,2502.5416666666665
Mike Dunleavy,2488.890625
George Carter,2488.25
Mike Lewis,2488.0
Antoine Carr,2481.0833333333335
John Block,2479.142857142857
Clarence Weatherspoon,2476.7352941176473
John Salmons,2476.684210526316
Campy Russell,2476.2777777777774
Taj Gibson,2469.625
Dick Snyder,2467.3333333333335
Anderson Varejão,2467.03125
Zaza Pachulia,2461.75
Thurl Bailey,2457.714285714286
Bobby Simmons,2455.5
Vinnie Johnson,2451.1666666666665
John Lucas,2450.857142857143
Danilo Gallinari,2445.105263157895
Flynn Robinson,2436.785714285714
LaSalle Thompson,2431.736842105263
Tom Owens,2430.280701754386
B.J. Armstrong,2428.5
Don Nelson,2427.8809523809523
Jordan Clarkson,2426.4999999999995
Sedale Threatt,2424.722222222222
Josh Howard,2424.291666666667
Ersan İlyasova,2412.75
JaVale McGee,2409.909090909091
Kevin Martin,2409.6875
Erick Dampier,2406.0625
Steve Johnson,2400.9285714285716
John Long,2396.78125
Shawn Bradley,2394.15625
Gerald Govan,2393.222222222222
Cliff Robinson,2392.3846153846152
Cuttino Mobley,2391.846153846154
Darius Garland,2389.4166666666665
Marcus Morris,2386.315789473684
Hot Rod Williams,2382.576923076923
Vernon Maxwell,2380.578947368421
Hassan Whiteside,2372.25
M.L. Carr,2371.75
Tim Thomas,2371.522727272727
Mark Olberding,2370.0357142857147
Nick Anderson,2368.6538461538457
Ricky Davis,2364.40625
Mike Newlin,2361.393939393939
Robin Lopez,2359.5
Robert Reid,2355.0
Reggie Lewis,2353.3333333333335
Corey Brewer,2353.217391304348
Alec Burks,2351.642857142857
José Calderón,2351.222222222222
Rodney Rogers,2348.34375
Jarrett Jack,2342.5
Udonis Haslem,2341.125
Cedric Maxwell,2338.8846153846157
Brent Barry,2338.75
OG Anunoby,2337.0
Jae Crowder,2332.0
Stacey Augmon,2331.0
Gerald Wilkins,2330.7692307692305
Mason Plumlee,2330.71875
Buddy Hield,2327.8333333333335
Matt Barnes,2327.333333333333
Kelly Olynyk,2327.21875
Brian Shaw,2325.5555555555557
Lindsey Hunter,2323.029411764706
Wayne Cooper,2322.392857142857
Tim Hardaway Jr.,2322.0
Don MacLean,2314.277777777778
Gerald Henderson,2309.724137931035
Curtis Rowe,2304.895833333333
Bill Hanzlik,2304.75
Vern Fleming,2300.2916666666665
Bob Verga,2299.772727272727
Enes Freedom,2299.5
Alton Lister,2299.2222222222226
Bingo Smith,2298.8974358974356
Ish Smith,2298.2884615384614
Junior Bridgeman,2294.416666666667
Markieff Morris,2292.1458333333335
Gar Heard,2290.8333333333335
Ricky Sobers,2286.909090909091
Bojan Bogdanović,2284.142857142857
Rick Fox,2280.9615384615386
Jamaal Magloire,2280.1071428571427
Butch Beard,2279.4318181818185
Jim Cleamons,2276.075757575758
Corliss Williamson,2269.09375
Leandro Barbosa,2268.375
Steve Blake,2263.7105263157896
Brad Davis,2260.342105263158
Muggsy Bogues,2252.96875
Bob Rule,2252.666666666667
Derrick Favors,2247.4642857142853
Dave Greenwood,2247.3214285714284
Dillon Brooks,2245.875
James Johnson,2242.9545454545455
Aaron Gordon,2240.8076923076924
Mike Riordan,2240.636363636364
Lucius Allen,2239.6666666666665
Sam Mitchell,2239.576923076923
Kentavious Caldwell-Pope,2237.5833333333335
Goose Ligon,2234.6111111111113
Mike Green,2232.3888888888887
C.J. Miles,2230.75
Walter Simon,2228.8571428571427
Herbert Jones,2225.625
Channing Frye,2224.764705882353
Marcin Gortat,2223.6785714285716
Patty Mills,2223.125
Jim Chones,2222.666666666667
James Posey,2222.1785714285716
Spencer Dinwiddie,2221.676470588235
Bo Outlaw,2220.529411764706
Sherman Douglas,2218.34375
Jim Washington,2217.1666666666665
Bimbo Coles,2214.1111111111113
David Lee,2213.3125
Mike Bantom,2212.0
Terry Tyler,2209.8636363636365
Gene Moore,2209.222222222222
Walt Williams,2207.6666666666665
Anthony Peeler,2207.5
Mike Woodson,2207.5
Ricky Rubio,2206.125
Terry Rozier,2204.416666666667
Jerami Grant,2199.923076923077
Marco Belinelli,2199.5
Samuel Dalembert,2199.4615384615386
Joe Kleine,2197.375
John Williamson,2194.214285714286
Rory Sparrow,2192.527777777778
Wilson Chandler,2191.65625
Courtney Lee,2191.472222222222
Greg Ballard,2187.909090909091
Keith Van Horn,2187.653846153846
Kurt Rambis,2187.111111111111
Rich Kelley,2181.8333333333335
Gheorghe Mureșan,2180.3333333333335
P.J. Tucker,2175.2894736842104
Spud Webb,2174.9285714285716
Larry Smith,2173.5769230769233
Evan Fournier,2172.6875
Rex Chapman,2170.6785714285716
Jusuf Nurkić,2164.3333333333335
Craig Ehlo,2163.357142857143
Dave Corzine,2160.4230769230767
Beno Udrih,2159.7631578947367
Ernie DiGregorio,2157.214285714286
Clint Capela,2155.8181818181815
Myles Turner,2154.75
Norman Powell,2153.8571428571427
Ramon Sessions,2152.631578947369
Brendan Haywood,2151.0
Jared Dudley,2149.65625
Ben Gordon,2147.409090909091
Chris Dudley,2145.416666666667
Tristan Thompson,2145.09375
Amir Johnson,2136.785714285714
J.J. Barea,2136.714285714286
Kelly Oubre Jr.,2136.25
Troy Murphy,2135.4375
Earl Watson,2131.5
Jim Fox,2130.78125
Shaun Livingston,2126.625
Luke Ridnour,2125.285714285714
Ray Williams,2125.269230769231
Kenny Carr,2124.857142857143
Brian Grant,2122.6666666666665
Jamal Murray,2121.375
Chris Ford,2121.193181818182
Bobby Phills,2120.3333333333335
Caris LeVert,2120.0
Quentin Richardson,2119.730769230769
Terrence Ross,2119.6666666666665
Dave Twardzik,2114.348214285714
Ed Pinckney,2111.53125
Aaron McKie,2110.529411764706
Frank Brickowski,2107.5625
Cory Joseph,2103.59375
Kenny Smith,2103.1666666666665
Bob Gross,2103.0
Jason Williams,2102.1428571428573
Bobby Jackson,2101.8214285714284
Jay Humphries,2100.1666666666665
Gus Gerard,2096.470588235294
Kris Humphries,2094.6388888888887
Kevin Porter,2094.1439393939395
Darryl Dawkins,2090.59375
Tony Battie,2088.59375
Arron Afflalo,2086.153846153846
Matisse Thybulle,2084.4285714285716
Vladimir Radmanović,2083.6944444444443
Darren Collison,2081.6818181818185
Antonio Daniels,2081.0
Bobby Portis,2080.1666666666665
Mel Counts,2079.4375
DeShawn Stevenson,2078.2941176470586
Luis Scola,2073.25
Wayne Ellington,2070.705882352941
Anthony Johnson,2068.3571428571427
Calbert Cheaney,2067.3076923076924
Kyle Kuzma,2066.75
Chris Morris,2066.090909090909
Nick Collison,2063.928571428571
Steve Kerr,2062.735294117647
Steven Adams,2059.0
Keith Erickson,2053.2916666666665
Jim Barnett,2051.089743589743
Nick Young,2050.392857142857
Elmore Smith,2049.25
Billy Owens,2049.1785714285716
Rafer Alston,2048.0
Fred Carter,2043.5
Danny Ferry,2041.2307692307693
George McCloud,2040.892857142857
Jayson Williams,2039.7222222222222
Randy Foye,2038.3846153846155
Kendrick Perkins,2038.1666666666667
Howard Komives,2037.0
Brevin Knight,2036.6764705882356
